time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2021-07-22T00:00:00.0000000Z;2021-07-23T00:00:00.0000000Z;2021-07-22T00:01:00.0000000Z;2021-07-22T23:59:00.0000000Z;6.524353258206063E-06;6.6507738525363425E-06;6.360171571870159E-06;6.459120816430456E-06
2021-07-23T00:00:00.0000000Z;2021-07-24T00:00:00.0000000Z;2021-07-23T00:01:00.0000000Z;2021-07-23T23:59:00.0000000Z;6.463687034219389E-06;6.683034655221283E-06;6.1342870485968485E-06;6.474071610436839E-06
2021-07-24T00:00:00.0000000Z;2021-07-25T00:00:00.0000000Z;2021-07-24T00:01:00.0000000Z;2021-07-24T23:59:00.0000000Z;6.480939279994653E-06;6.656246179017835E-06;6.323515223385931E-06;6.4525650608354775E-06
2021-07-25T00:00:00.0000000Z;2021-07-26T00:00:00.0000000Z;2021-07-25T00:01:00.0000000Z;2021-07-25T23:59:00.0000000Z;6.456251432587319E-06;6.5355104828731165E-06;6.165413459288595E-06;6.36412607055787E-06
2021-07-26T00:00:00.0000000Z;2021-07-27T00:00:00.0000000Z;2021-07-26T00:01:00.0000000Z;2021-07-26T23:59:00.0000000Z;6.354573312031557E-06;6.9053220323155165E-06;6.252202809188844E-06;6.3228868255918E-06
2021-07-27T00:00:00.0000000Z;2021-07-28T00:00:00.0000000Z;2021-07-27T00:01:00.0000000Z;2021-07-27T23:59:00.0000000Z;6.301135391492621E-06;6.414692961451237E-06;6.050761137980855E-06;6.3136625155739985E-06
2021-07-28T00:00:00.0000000Z;2021-07-29T00:00:00.0000000Z;2021-07-28T00:01:00.0000000Z;2021-07-28T23:59:00.0000000Z;6.302675534558488E-06;6.353208865754308E-06;6.145698890131177E-06;6.1819441437239385E-06
2021-07-29T00:00:00.0000000Z;2021-07-30T00:00:00.0000000Z;2021-07-29T00:01:00.0000000Z;2021-07-29T23:59:00.0000000Z;6.191252808048044E-06;6.500983302195814E-06;6.094500851184845E-06;6.2908768822681266E-06
2021-07-30T00:00:00.0000000Z;2021-07-31T00:00:00.0000000Z;2021-07-30T00:01:00.0000000Z;2021-07-30T23:59:00.0000000Z;6.309881428588722E-06;6.412279064943414E-06;6.114136362928436E-06;6.291107344830124E-06
2021-07-31T00:00:00.0000000Z;2021-08-01T00:00:00.0000000Z;2021-07-31T00:01:00.0000000Z;2021-07-31T23:59:00.0000000Z;6.291631539262647E-06;6.309075963178663E-06;6.199646330519323E-06;6.255487683685368E-06
2021-08-01T00:00:00.0000000Z;2021-08-02T00:00:00.0000000Z;2021-08-01T00:01:00.0000000Z;2021-08-01T23:59:00.0000000Z;6.230745214650086E-06;6.7140581735907805E-06;6.212239182733713E-06;6.312678238208934E-06
2021-08-02T00:00:00.0000000Z;2021-08-03T00:00:00.0000000Z;2021-08-02T00:01:00.0000000Z;2021-08-02T23:59:00.0000000Z;6.297114805110049E-06;6.433531277354944E-06;6.213161339301914E-06;6.3450223792628625E-06
2021-08-03T00:00:00.0000000Z;2021-08-04T00:00:00.0000000Z;2021-08-03T00:01:00.0000000Z;2021-08-03T23:59:00.0000000Z;6.353379175883127E-06;6.3934738317718845E-06;6.149897149849246E-06;6.161196184732941E-06
2021-08-04T00:00:00.0000000Z;2021-08-05T00:00:00.0000000Z;2021-08-04T00:01:00.0000000Z;2021-08-04T23:59:00.0000000Z;6.177932082089983E-06;6.326372488867379E-06;6.108343318813594E-06;6.2327135830657606E-06
2021-08-05T00:00:00.0000000Z;2021-08-06T00:00:00.0000000Z;2021-08-05T00:01:00.0000000Z;2021-08-05T23:59:00.0000000Z;6.235271284092491E-06;6.248662561620912E-06;6.109742832253217E-06;6.220790997639904E-06
2021-08-06T00:00:00.0000000Z;2021-08-07T00:00:00.0000000Z;2021-08-06T00:01:00.0000000Z;2021-08-06T23:59:00.0000000Z;6.213089516422398E-06;6.422903321513798E-06;6.133775229977062E-06;6.302600358006936E-06
2021-08-07T00:00:00.0000000Z;2021-08-08T00:00:00.0000000Z;2021-08-07T00:01:00.0000000Z;2021-08-07T23:59:00.0000000Z;6.313670565847943E-06;7.89333289611217E-06;6.292171169855955E-06;7.807970802199415E-06
2021-08-08T00:00:00.0000000Z;2021-08-09T00:00:00.0000000Z;2021-08-08T00:01:00.0000000Z;2021-08-08T23:59:00.0000000Z;7.847073560106151E-06;8.845111197219114E-06;7.244478622511202E-06;7.303287170041853E-06
2021-08-09T00:00:00.0000000Z;2021-08-10T00:00:00.0000000Z;2021-08-09T00:01:00.0000000Z;2021-08-09T23:59:00.0000000Z;7.3277565367004965E-06;7.88315878234094E-06;7.105693020529635E-06;7.640326904190554E-06
2021-08-10T00:00:00.0000000Z;2021-08-11T00:00:00.0000000Z;2021-08-10T00:01:00.0000000Z;2021-08-10T23:59:00.0000000Z;7.613664124551953E-06;7.895610453549677E-06;7.333480821033185E-06;7.572930411340214E-06
2021-08-11T00:00:00.0000000Z;2021-08-12T00:00:00.0000000Z;2021-08-11T00:01:00.0000000Z;2021-08-11T23:59:00.0000000Z;7.578394922861065E-06;8.276544074145429E-06;7.555318121333409E-06;7.797470935389664E-06
2021-08-12T00:00:00.0000000Z;2021-08-13T00:00:00.0000000Z;2021-08-12T00:01:00.0000000Z;2021-08-12T23:59:00.0000000Z;7.765650501289366E-06;8.223501090214482E-06;7.448130526468198E-06;7.6287599009171465E-06
